timestamps,TP9,AF7,AF8,TP10,Right AUX
1757889879.885,-92.285,-48.340,-78.613,-54.688,0.000
1757889879.889,-144.531,-48.828,-440.918,-60.059,0.000
1757889879.893,-35.156,-25.391,-207.520,-39.551,0.000
1757889879.897,73.242,-14.648,240.234,-20.508,0.000
1757889879.901,44.434,-35.645,21.973,-17.090,0.000
1757889879.905,-180.176,-58.594,-419.434,-79.102,0.000
1757889879.909,-98.633,-51.270,-414.551,-54.199,0.000
1757889879.912,36.621,-39.551,-16.113,-5.859,0.000
1757889879.916,69.336,-47.363,27.344,9.277,0.000
1757889879.920,-132.812,-62.500,-386.230,-54.199,0.000
1757889879.924,-165.527,-52.734,-439.941,-82.031,0.000
1757889879.928,13.672,-27.344,-57.129,-43.945,0.000
1757889879.932,73.242,-24.902,222.168,-30.273,0.000
1757889879.936,-33.691,-48.828,-141.602,-49.316,0.000
1757889879.940,-217.773,-54.688,-437.012,-91.309,0.000
1757889879.944,-21.484,-29.297,-203.613,-41.016,0.000
1757889879.948,96.680,-18.555,214.844,3.906,0.000
1757889879.952,-39.551,-42.480,-40.527,-26.855,0.000
1757889879.955,-173.340,-54.199,-410.156,-63.965,0.000
1757889879.959,-139.160,-45.898,-381.348,-49.316,0.000
1757889879.963,104.492,-24.414,-10.254,-2.930,0.000
1757889879.967,19.531,-37.109,93.262,-31.738,0.000
1757889879.971,-151.367,-63.965,-373.535,-58.105,0.000
1757889879.975,-151.367,-49.316,-406.250,-49.316,0.000
1757889879.979,70.312,-15.137,66.406,-8.301,0.000
1757889879.983,107.910,-27.832,239.746,-22.949,0.000
1757889879.987,-134.277,-62.012,-214.355,-84.961,0.000
1757889879.991,-138.672,-53.223,-442.383,-71.289,0.000
1757889879.995,-39.062,-28.320,-17.578,-46.387,0.000
1757889879.998,137.207,-25.879,231.445,-12.695,0.000
1757889880.002,-41.504,-60.547,-218.262,-26.367,0.000
1757889880.006,-196.289,-60.547,-541.016,-60.547,0.000
1757889880.010,-23.438,-18.555,-243.652,-51.270,0.000
1757889880.014,79.590,-4.883,205.078,-31.738,0.000
1757889880.018,21.484,-31.250,-32.227,-20.508,0.000
1757889880.022,-188.477,-46.875,-467.285,-66.406,0.000
1757889880.026,-88.867,-22.461,-287.598,-51.270,0.000
1757889880.030,55.176,-0.977,192.383,-20.508,0.000
1757889880.034,79.102,-30.762,76.172,-11.719,0.000
1757889880.037,-129.395,-54.688,-390.625,-63.477,0.000
1757889880.041,-187.500,-41.992,-431.641,-95.215,0.000
1757889880.045,44.434,-21.973,-13.672,-33.203,0.000
1757889880.049,41.504,-22.461,61.035,-23.438,0.000
1757889880.053,-38.086,-41.016,-422.363,-26.855,0.000
1757889880.057,-194.824,-33.203,-470.215,-72.754,0.000
1757889880.061,-36.133,-6.836,-113.281,-58.594,0.000
1757889880.065,106.934,-2.441,182.129,-20.508,0.000
1757889880.069,-37.598,-30.273,-133.789,-36.133,0.000
1757889880.073,-167.969,-41.504,-472.656,-54.688,0.000
1757889880.077,-136.719,-20.020,-313.965,-57.617,0.000
1757889880.080,102.051,1.465,127.441,0.488,0.000
1757889880.084,20.508,-21.973,47.363,-3.906,0.000
1757889880.088,-127.441,-44.434,-388.184,-30.762,0.000
1757889880.092,-174.316,-31.250,-428.223,-51.270,0.000
1757889880.096,24.414,-2.441,-79.102,-27.344,0.000
1757889880.100,100.098,-7.812,64.941,-6.348,0.000
1757889880.104,-133.789,-39.551,-313.477,-57.617,0.000
1757889880.108,-139.160,-34.668,-490.723,-69.824,0.000
1757889880.112,-34.668,-11.719,-60.059,-63.477,0.000
1757889880.116,89.355,-17.578,235.840,-29.785,0.000
1757889880.120,-40.039,-43.945,-179.199,-41.504,0.000
