timestamps,TP9,AF7,AF8,TP10,Right AUX
1757710011.619,-168.457,516.602,-391.602,-29.785,0.000
1757710011.623,186.523,870.605,99.121,195.312,0.000
1757710011.626,168.457,472.168,-44.434,219.238,0.000
1757710011.630,-187.988,-306.152,-560.547,-33.691,0.000
1757710011.634,-244.141,-507.812,-580.566,-100.586,0.000
1757710011.638,76.660,32.715,-118.652,117.188,0.000
1757710011.642,237.793,41.992,-90.332,254.395,0.000
1757710011.646,-112.305,-584.473,-587.891,52.734,0.000
1757710011.650,-267.578,-424.316,-597.656,-94.727,0.000
1757710011.654,-9.277,269.043,-230.469,33.691,0.000
1757710011.658,269.043,787.109,-40.527,251.953,0.000
1757710011.662,-3.906,787.109,-390.625,125.488,0.000
1757710011.666,-270.508,888.672,-531.250,-82.520,0.000
1757710011.669,-114.258,972.168,-444.336,-37.598,0.000
1757710011.673,240.234,964.355,-59.570,187.500,0.000
1757710011.677,98.145,965.820,-126.465,135.254,0.000
1757710011.681,-255.859,966.797,-516.113,-77.148,0.000
1757710011.685,-205.078,966.309,-556.641,-67.871,0.000
1757710011.689,171.875,966.309,-186.523,127.930,0.000
1757710011.693,204.590,966.309,-90.332,168.945,0.000
1757710011.697,-162.109,966.797,-511.230,-55.176,0.000
1757710011.701,-250.977,963.867,-718.750,-118.164,0.000
1757710011.705,50.293,964.844,-335.449,75.195,0.000
1757710011.708,248.047,966.797,98.633,216.797,0.000
1757710011.712,-84.473,965.820,-413.574,27.832,0.000
1757710011.716,-279.297,966.309,-649.902,-126.953,0.000
1757710011.720,-41.016,966.309,-252.930,-21.484,0.000
1757710011.724,278.809,966.309,114.258,190.430,0.000
1757710011.728,46.875,966.309,-322.266,87.402,0.000
1757710011.732,-244.141,966.309,-664.551,-118.652,0.000
1757710011.736,-116.699,966.309,-468.262,-61.035,0.000
1757710011.740,216.797,966.309,34.180,177.734,0.000
1757710011.744,101.074,966.309,-139.160,131.348,0.000
1757710011.748,-234.863,966.309,-701.172,-84.473,0.000
1757710011.751,-178.223,966.309,-524.902,-98.145,0.000
1757710011.755,159.180,966.309,23.438,99.121,0.000
1757710011.759,165.039,966.309,-128.906,144.531,0.000
1757710011.763,-179.199,966.309,-590.820,-70.312,0.000
1757710011.767,-232.422,966.309,-481.934,-120.117,0.000
1757710011.771,55.176,966.309,-29.297,36.621,0.000
1757710011.775,234.375,966.309,21.973,157.227,0.000
1757710011.779,-72.754,966.309,-526.855,-30.273,0.000
1757710011.783,-236.328,966.309,-604.492,-159.668,0.000
1757710011.787,-20.996,966.797,-162.598,-50.781,0.000
1757710011.791,258.301,965.332,-45.410,158.203,0.000
1757710011.794,16.602,963.379,-555.176,41.504,0.000
1757710011.798,-240.234,966.309,-496.582,-171.387,0.000
1757710011.802,-85.938,966.797,-302.734,-107.422,0.000
1757710011.806,226.074,965.820,83.008,126.465,0.000
1757710011.810,102.539,965.820,-150.879,102.051,0.000
1757710011.814,-215.820,967.285,-548.340,-124.512,0.000
1757710011.818,-168.457,958.496,-410.645,-143.555,0.000
1757710011.822,157.715,978.516,-120.605,56.641,0.000
1757710011.826,198.730,925.781,-104.492,116.211,0.000
1757710011.830,-157.715,778.320,-545.898,-94.238,0.000
1757710011.833,-220.215,859.375,-541.504,-152.832,0.000
1757710011.837,51.270,899.902,-347.656,22.461,0.000
1757710011.841,241.699,920.410,-38.086,159.668,0.000
1757710011.845,-67.383,912.598,-218.750,-33.691,0.000
1757710011.849,-247.070,865.723,-541.504,-179.688,0.000
1757710011.853,-16.602,901.367,-244.629,-67.871,0.000
1757710011.857,252.930,956.543,198.730,142.090,0.000
1757710011.861,35.645,965.332,-115.723,48.340,0.000
1757710011.865,-232.422,916.016,-569.336,-149.902,0.000
1757710011.869,-127.441,907.715,-432.129,-105.469,0.000
1757710011.873,199.707,963.867,137.207,108.887,0.000
1757710011.876,127.441,952.148,-54.199,115.723,0.000
1757710011.880,-208.496,713.867,-680.176,-75.195,0.000
1757710011.884,-193.848,668.457,-648.438,-107.910,0.000
1757710011.888,103.027,973.145,41.504,65.430,0.000
1757710011.892,178.711,977.539,98.633,148.926,0.000
1757710011.896,-163.574,809.570,-449.219,-56.152,0.000
1757710011.900,-234.863,874.512,-494.141,-133.301,0.000
1757710011.904,22.949,983.398,-86.426,38.574,0.000
1757710011.908,219.727,977.539,141.602,190.918,0.000
1757710011.912,-58.105,718.262,-377.930,15.137,0.000
1757710011.916,-260.254,547.852,-591.309,-139.160,0.000
1757710011.919,-83.008,810.059,-329.102,-33.203,0.000
1757710011.923,188.965,-927.734,62.012,178.223,0.000
1757710011.927,17.090,408.203,-329.590,101.562,0.000
1757710011.931,-263.672,265.625,-656.250,-110.352,0.000
1757710011.935,-171.875,970.703,-324.219,-103.516,0.000
1757710011.939,146.973,982.910,51.758,111.816,0.000
1757710011.943,128.906,752.930,-124.023,119.141,0.000
1757710011.947,-205.566,496.094,-537.598,-99.121,0.000
1757710011.951,-243.164,604.004,-463.379,-147.949,0.000
1757710011.955,64.941,873.535,-99.121,50.293,0.000
1757710011.958,201.172,818.848,1.465,192.383,0.000
1757710011.962,-139.648,434.082,-436.035,-32.715,0.000
1757710011.966,-256.836,364.258,-503.418,-162.109,0.000
1757710011.970,-13.184,372.070,-422.852,-29.785,0.000
1757710011.974,202.148,561.035,-198.242,155.762,0.000
1757710011.978,-49.805,437.500,-337.402,23.438,0.000
1757710011.982,-276.855,241.699,-564.941,-176.270,0.000
1757710011.986,-105.469,247.070,-496.582,-98.145,0.000
1757710011.990,194.336,516.602,-150.879,120.117,0.000
1757710011.994,66.406,714.844,-94.727,67.871,0.000
1757710011.998,-212.891,193.359,-550.781,-118.164,0.000
1757710012.001,-180.664,123.047,-504.395,-129.883,0.000
1757710012.005,83.008,619.141,-7.324,41.992,0.000
1757710012.009,79.102,476.562,-105.469,92.773,0.000
1757710012.013,-265.137,-159.668,-623.535,-122.559,0.000
1757710012.017,-314.941,-95.215,-592.285,-233.398,0.000
1757710012.021,-29.785,523.926,-103.516,-76.172,0.000
1757710012.025,106.934,978.027,149.414,65.430,0.000
1757710012.029,-234.863,460.938,-392.090,-177.246,0.000
1757710012.033,-403.809,197.754,-664.551,-358.398,0.000
1757710012.037,-184.570,777.344,-224.121,-195.801,0.000
1757710012.040,51.758,-980.469,213.867,4.883,0.000
1757710012.044,-193.359,911.133,-232.910,-163.574,0.000
1757710012.048,-429.199,927.734,-607.910,-350.098,0.000
1757710012.052,-277.832,961.426,-354.004,-277.832,0.000
1757710012.056,26.855,982.422,147.461,-55.664,0.000
1757710012.060,-74.219,910.645,-147.461,-74.707,0.000
1757710012.064,-353.516,876.953,-676.758,-265.625,0.000
1757710012.068,-283.691,950.195,-466.797,-243.652,0.000
1757710012.072,-43.457,-986.816,7.324,-51.758,0.000
1757710012.076,-30.273,812.012,-197.266,-6.348,0.000
1757710012.080,-247.559,689.941,-663.086,-175.781,0.000
1757710012.083,-214.355,969.727,-348.633,-202.148,0.000
1757710012.087,-39.062,976.074,-171.387,-91.797,0.000
1757710012.091,12.207,955.566,-248.047,10.742,0.000
1757710012.095,-148.926,967.773,-419.434,-85.938,0.000
1757710012.099,-197.754,964.355,-414.551,-180.664,0.000
1757710012.103,-69.336,965.820,-333.008,-104.492,0.000
1757710012.107,28.320,966.797,-319.336,23.926,0.000
1757710012.111,-81.055,965.820,-480.469,-31.738,0.000
1757710012.115,-144.043,966.309,-415.039,-144.531,0.000
1757710012.119,-60.547,966.309,-275.391,-113.770,0.000
1757710012.123,21.484,966.309,-396.973,29.297,0.000
1757710012.126,-53.223,966.309,-472.168,-7.324,0.000
1757710012.130,-135.742,966.309,-333.984,-141.602,0.000
1757710012.134,-83.984,966.309,-392.578,-132.812,0.000
1757710012.138,36.621,966.309,-156.738,8.301,0.000
1757710012.142,24.902,966.309,-87.402,40.039,0.000
1757710012.146,-119.629,966.309,-464.844,-116.211,0.000
1757710012.150,-116.699,966.309,-541.016,-151.855,0.000
1757710012.154,27.832,966.309,-201.172,-24.902,0.000
1757710012.158,125.977,966.309,-47.852,79.590,0.000
1757710012.162,-104.980,966.309,-403.320,-80.566,0.000
1757710012.166,-253.906,962.402,-637.207,-223.145,0.000
1757710012.169,-102.051,964.355,-555.664,-148.438,0.000
1757710012.173,195.801,966.797,177.734,100.098,0.000
1757710012.177,89.355,965.820,-16.602,68.359,0.000
1757710012.181,-206.543,966.309,-576.660,-170.410,0.000
1757710012.185,-172.852,965.820,-422.363,-179.688,0.000
1757710012.189,143.066,967.285,147.949,80.566,0.000
